GEODOMI LABEL,GEODOMI,GEODOMI CAT,OLD LOCDOMI,OLD LOCDOMI LABEL,MSA/CMSA/NECMA
FIJI,00242,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
FINLAND,00246,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
ÅLAND ISLANDS,00248,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
FRANCE,00250,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
FRENCH GUIANA,00254,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
FRENCH POLYNESIA,00258,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
FRENCH SOUTHERN TERRITORIES,00260,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
DJIBOUTI,00262,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
GABON,00266,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
GEORGIA (FOREIGN COUNTRY),00268,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
GAMBIA,00270,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
"PALESTINIAN TERRITORY, OCCUPIED",00275,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
GERMANY,00276,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
GHANA,00288,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
GIBRALTAR,00292,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
KIRIBATI,00296,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
GREECE,00300,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
GREENLAND,00304,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
GRENADA,00308,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
GUADELOUPE,00312,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
GUATEMALA,00320,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
GUINEA,00324,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
GUYANA,00328,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
HAITI,00332,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
HEARD AND MCDONALD ISLANDS,00334,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
HOLY SEE (VATICAN CITY STATE),00336,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
HONDURAS,00340,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
HONG KONG,00344,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
HUNGARY,00348,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
ICELAND,00352,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
INDIA,00356,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
INDONESIA,00360,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
"IRAN, ISLAMIC REPUBLIC OF",00364,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
IRAQ,00368,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
IRELAND,00372,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
ISRAEL,00376,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
ITALY,00380,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
CÔTE D'IVOIRE,00384,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
JAMAICA,00388,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
JAPAN,00392,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
KAZAKHSTAN,00398,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
JORDAN,00400,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
KENYA,00404,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",00408,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
"KOREA, REPUBLIC OF",00410,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
KUWAIT,00414,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
KYRGYZSTAN,00417,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
LAO PEOPLE'S DEMOCRATIC REPUBLIC,00418,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
